CPIH,HousePrices
0.2,202664.3387
0.4,204223.2345
0.5,204920.2481
0.6,205464.2926
0.6,205555.4075
0.8,207667.1658
0.7,208443.2286
0.7,210872.4183
0.8,212886.5299
0.9,215126.9772
1,215144.9613
1.3,214816.236
1.3,214106.8334
1.5,215113.0566
1.8,215499.8314
1.9,215242.5623
2.3,215697.4753
2.3,215236.3504
2.6,218641.5946
2.7,219953.663
2.6,221833.4783
2.6,224719.137
2.7,225738.1678
2.8,224895.0198
2.8,225092.3259
2.8,224452.6722
2.7,225329.9776
2.7,224543.7559
2.5,225131.191
2.3,223772.1802
2.2,225910.188
2.3,226833.8665
2.3,228355.3098
2.3,231187.016
2.4,231897.7019
2.2,231454.2502
2.2,231211.2302
2.2,230224.3035
2,229729.2591
1.8,228314.4927
1.8,227738.4642
1.8,227103.9623
2,228749.3498
1.9,229061.1192
1.9,230049.0452
2,232618.1464
1.7,233366.1371
1.7,233536.15
1.5,232919.4018
1.5,232096.426
1.4,231792.2947
1.8,231939.909
1.7,230609.0017
1.5,232683.8062
0.9,230317.758
0.7,231507.7098
0.8,234703.2452
1.1,236686.9285
0.5,238997.6916
0.7,241541.4024
0.9,243575.4827
0.6,246064.9811
0.8,247983.412
0.9,249689.5341
0.7,249586.1029
1,253505.551
1.6,250209.6713
2.1,251285.4804
2.4,265676.0755
2.1,252961.2289
3,260430.3852
2.9,269236.8944
3.8,264044.1865
4.6,268666.121
4.8,269422.5255
4.9,275419.5892
5.5,275411.414
6.2,277357.7286
7.8,280991.6568
7.9,283488.0933
8.2,287166.1887
8.8,293323.7216
8.6,295903.2088
